date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:52	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:45%20GMT	http://www.phon.ox.ac.uk/~jcoleman/managw.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/managw.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:52	7882/7882	---M--	200	added ('OK')	audio/x-wav	etag:%22122ceb-1eca-37b8a60a102c0%22	http://www.phon.ox.ac.uk/jcoleman/ugmn.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/ugmn.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:53	231/231	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:45%20GMT	http://www.phon.ox.ac.uk/~jcoleman/LD-aggwrn.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/LD-aggwrn.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:53	10238/10238	---M--	200	added ('OK')	audio/x-wav	etag:%22122b77-27fe-37b8a5fbc2100%22	http://www.phon.ox.ac.uk/jcoleman/managu.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/managu.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:53	231/231	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:46%20GMT	http://www.phon.ox.ac.uk/~jcoleman/LD-aggurn.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/LD-aggurn.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:54	9846/9846	---M--	200	added ('OK')	audio/x-wav	etag:%22122b78-2676-37b8a5fbc2100%22	http://www.phon.ox.ac.uk/jcoleman/managw.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/managw.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:54	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:46%20GMT	http://www.phon.ox.ac.uk/~jcoleman/axwlil.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/axwlil.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:54	12334/12334	---M--	200	added ('OK')	audio/x-wav	etag:%221229da-302e-37b8a5e202440%22	http://www.phon.ox.ac.uk/jcoleman/LD-aggwrn.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/LD-aggwrn.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:55	227/227	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:47%20GMT	http://www.phon.ox.ac.uk/~jcoleman/axlul.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/axlul.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:56	13440/13440	---M--	200	added ('OK')	audio/x-wav	etag:%221229d9-3480-37b8a5e10e200%22	http://www.phon.ox.ac.uk/jcoleman/LD-aggurn.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/LD-aggurn.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:56	10302/10302	---M--	200	added ('OK')	audio/x-wav	etag:%22122a8c-283e-37b8a5ee68180%22	http://www.phon.ox.ac.uk/jcoleman/axwlil.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/axwlil.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:56	231/231	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:48%20GMT	http://www.phon.ox.ac.uk/~jcoleman/lqs_it_t_.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/lqs_it_t_.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
